1,2,3,4,5,6,보너스,합계,최소값,최대값,평균값
5,9,27,29,37,40,19,147,,,
6,11,19,20,28,32,34,116,,,
3,8,15,27,30,45,44,128,,,
1,4,12,16,18,38,8,89,,,
6,10,17,30,37,38,40,138,,,
1,9,17,21,29,33,24,110,,,
17,18,31,32,33,34,10,165,,,
3,7,8,18,20,42,45,98,,,
8,13,18,32,39,45,7,155,,,
3,14,33,37,38,42,10,167,,,
1,12,17,28,35,41,10,134,,,
6,12,24,27,35,37,41,141,,,
1,15,19,40,42,44,17,161,,,
13,33,37,40,41,45,2,209,,,
2,7,15,24,30,45,28,123,,,
6,8,18,31,38,45,42,146,,,
2,5,10,18,31,32,30,98,,,
1,3,4,6,14,41,12,69,,,
10,11,23,24,36,37,35,141,,,
7,16,31,36,37,38,11,165,,,
3,11,37,39,41,43,13,174,,,
10,12,13,15,25,29,20,104,,,
4,15,21,33,39,41,25,153,,,
14,19,20,35,38,40,26,166,,,
13,14,15,26,35,39,25,142,,,
1,8,24,31,34,44,6,142,,,
7,9,12,27,39,43,28,137,,,
3,8,9,27,29,40,36,116,,,
5,9,12,20,21,26,27,93,,,
5,18,20,36,42,43,32,164,,,
3,10,19,24,32,45,12,133,,,
7,8,24,34,36,41,1,150,,,
3,4,9,11,22,42,37,91,,,
5,9,34,37,38,39,12,162,,,
9,16,27,36,41,44,5,173,,,
1,27,28,32,37,40,18,165,,,
9,12,24,25,29,31,36,130,,,
6,11,16,18,31,43,2,125,,,
7,12,15,24,37,40,43,135,,,
4,5,14,35,42,45,34,145,,,
14,27,30,31,38,40,17,180,,,
6,13,27,31,32,37,4,146,,,
4,11,14,21,23,43,32,116,,,
1,5,6,24,27,42,32,105,,,
1,5,19,20,24,30,27,99,,,
8,19,25,31,34,36,33,153,,,
14,23,26,31,39,45,28,178,,,
6,7,19,25,28,38,45,123,,,
19,23,30,37,43,45,38,197,,,
3,8,27,31,41,44,11,154,,,
3,8,17,23,38,45,13,134,,,
12,15,28,36,39,40,13,170,,,
13,18,21,23,26,39,15,140,,,
9,11,27,31,32,38,22,148,,,
13,16,25,36,37,38,19,165,,,
2,12,17,19,28,42,34,120,,,
4,19,20,21,32,34,43,130,,,
2,16,24,27,28,35,21,132,,,
6,10,16,40,41,43,21,156,,,
11,15,24,39,41,44,7,174,,,
2,4,15,28,31,34,35,114,,,
1,11,17,21,24,44,33,118,,,
1,4,8,13,37,39,7,102,,,
21,22,26,27,31,37,8,164,,,
13,21,22,24,26,37,4,143,,,
4,6,13,17,28,40,39,108,,,
8,9,10,12,24,44,35,107,,,
5,10,19,31,44,45,27,154,,,
5,11,14,29,32,33,12,124,,,
4,5,9,11,23,38,35,90,,,
17,25,35,36,39,44,23,196,,,
4,5,15,16,22,42,2,104,,,
2,6,8,14,21,22,34,73,,,
5,11,13,19,31,36,7,115,,,
4,19,26,27,30,42,7,148,,,
1,3,18,20,26,27,38,95,,,
5,7,28,29,39,43,44,151,,,
2,20,33,35,37,40,10,167,,,
5,11,19,21,34,43,31,133,,,
4,11,20,26,35,37,16,133,,,
1,8,14,18,29,44,20,114,,,
16,20,27,33,35,39,38,170,,,
7,16,17,33,36,40,1,149,,,
2,3,7,15,43,44,4,114,,,
5,7,20,25,28,37,32,122,,,
2,3,4,5,20,24,42,58,,,
11,12,18,21,31,38,8,131,,,
12,13,17,20,33,41,8,136,,,
10,19,22,23,25,37,39,136,,,
2,7,18,20,24,33,37,104,,,
14,25,31,34,40,44,24,188,,,
3,11,14,31,32,37,38,128,,,
1,2,3,15,20,25,43,66,,,
1,3,21,29,35,37,30,126,,,
3,12,14,35,40,45,5,149,,,
1,3,11,24,30,32,7,101,,,
12,14,27,33,39,44,17,169,,,
3,11,24,38,39,44,26,159,,,
5,6,13,14,17,20,7,75,,,
14,21,22,25,30,36,43,148,,,
12,19,20,25,41,45,2,162,,,
7,12,16,34,42,45,4,156,,,
